Alpha Code,Common Name,Genus,Species
CCSW,Chestnut-collared Swift,Streptoprocne,rutila
CCTA,Crimson-collared Tanager,Ramphocelus,sanguinolentus
CCTH,Clay-colored Thrush,Turdus,grayi
CCWA,Crescent-chested Warbler,Oreothlypis,superciliosa
CEDW,Cedar Waxwing,Bombycilla,cedrorum
CERW,Cerulean Warbler,Setophaga,cerulea
CFMA,Chestnut-fronted Macaw,Ara,severus
CFPA,Crimson-fronted Parakeet,Psittacara,finschi
CGDO,Common Ground Dove,Columbina,passerina
CGWO,Cuban Green Woodpecker,Xiphidiopicus,percussus
CHAL,Chatham Albatross,Thalassarche,eremita
CHAS,Chapman's Swift,Chaetura,chapmani
CHEG,Chinese Egret,Egretta,eulophotes
CHEM,Coppery-headed Emerald,Microchera,cupreiceps
CHFG,Chiriqui Foliage-gleaner,Automolus,exsertus
CHHU,Charming Hummingbird,Polyerata,decora
CHIS,Chinese Sparrowhawk,Accipiter,soloensis
CHME,Chihuahuan Meadowlark,Sturnella,lilianae
CHMU,Chestnut Munia,Lonchura,atricapilla
CHOR,Chestnut-headed Oropendola,Psarocolius,wagleri
CHPH,Chinese Pond-Heron,Ardeola,bacchus
CHQD,Chiriqui Quail-Dove,Zentrygon,chiriquensis
CHRA,Chihuahuan Raven,Corvus,cryptoleucus
CHSH,Christmas Shearwater,Puffinus,nativitatis
CHSI,Choco Sirystes,Sirystes,albogriseus
CHSO,Choco Screech-Owl,Megascops,centralis
CHSP,Chipping Sparrow,Spizella,passerina
CHSW,Chimney Swift,Chaetura,pelagica
CHTA,Choco Tapaculo,Scytalopus,chocoensis
CHTI,Choco Tinamou,Crypturellus,kerriae
CHUK,Chukar,Alectoris,chukar
CIBS,Cinnamon-bellied Saltator,Saltator,grandis
CIHU,Cinnamon Hummingbird,Amazilia,rutila
CIMB,Cinnamon Becard,Pachyramphus,cinnamomeus
CIOW,Cinereous Owl,Strix,sartorii
CIRB,Cinereous Becard,Pachyramphus,rufus
CITE,Cinnamon Teal,Spatula,cyanoptera
CITR,Citreoline Trogon,Trogon,citreolus
CIWA,Citrine Wagtail,Motacilla,citreola
CIWO,Cinnamon Woodpecker,Celeus,loricatus
CLGR,Clark's Grebe,Aechmophorus,clarkii
CLNU,Clark's Nutcracker,Nucifraga,columbiana
CLRA,Clapper Rail,Rallus,crepitans
CLSW,Cliff Swallow,Petrochelidon,pyrrhonota
CLTE,California Least Tern,Sternula,antillarum browni
CLWR,Clarion Wren,Troglodytes,tanneri
CMWA,Cape May Warbler,Setophaga,tigrina
COAR,Collared Aracari,Pteroglossus,torquatus
COBH,Common Black Hawk,Buteogallus,anthracinus
COCC,Cocos Cuckoo,Coccyzus,ferrugineus
COCL,Common Chlorospingus,Chlorospingus,flavopectus
COCT,Cocoa Thrush,Turdus,fumigatus
COCU,Common Cuckoo,Cuculus,canorus
CODU,Comb Duck,Sarkidiornis,sylvicola
COEI,Common Eider,Somateria,mollissima
COEM,Cozumel Emerald,Cynanthus,forficatus
